,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,95437,100.0
1,low E cuts,48.085124218070554,45891,48.085124218070554
2,Fiducial Cuts,72.11871608812186,33096,67.65719794209792
3,One track cut,48.59499637418419,16083,28.44599054873896
4,Blob overlap cuts,54.86538581110489,8824,53.63538250364115
5,Energy cuts,13.610607434270172,1201,6.2701048859457025
