,event,trackID,energy,length,numb_of_voxels,numb_of_hits,numb_of_tracks,x_min,y_min,z_min,r_min,x_max,y_max,z_max,r_max,x_ave,y_ave,z_ave,r_ave,extreme1_x,extreme1_y,extreme1_z,extreme2_x,extreme2_y,extreme2_z,blob1_x,blob1_y,blob1_z,blob2_x,blob2_y,blob2_z,eblob1,eblob2,ovlp_blob_energy,vox_size_x,vox_size_y,vox_size_z,PORT
4325,80014,0,1.5988111514916592,159.0491377621408,66,7271,1,97.67500000000001,-51.32499999999999,942.6930843750001,98.71986248977458,203.675,36.67500000000001,1033.408425,207.61926993899195,144.09063572346804,-17.333329184243993,992.5674096597836,146.26555515491978,104.2999999999974,-29.325000000001488,1026.9287578125027,197.05000000000265,-43.991666666669154,1001.010089062501,107.05250286006257,-25.357435083029234,1025.5298323100844,193.7988814616926,-42.104860344969424,996.3176613148825,0.5406959001030697,0.4586941440404117,0.0,13.250000000000753,14.666666666667666,12.959334375000822,1a
4340,80038,0,1.5961864792353309,180.72535648274018,54,7184,1,76.67500000000001,-52.32499999999999,339.94567031250006,80.10874640137618,192.675,76.67500000000001,402.36006562500006,203.27127502428866,135.8866128553947,24.9234932319968,366.5425986600841,144.67388967539904,83.9249999999974,-45.15833333333599,396.1186260937525,185.42500000000265,69.50833333333601,346.18710984374763,183.06865084333728,65.97090750797086,342.4073210214336,88.11852800705731,-40.23403222596059,393.7494726639591,0.43505453160196655,0.2746588666860177,0.0,14.500000000000753,14.333333333333997,12.482879062501183,1a
4615,80270,0,1.5909187359391357,255.54598485862235,58,8375,1,138.675,101.67500000000001,543.7719656250001,182.42302828864564,251.675,241.675,646.9252781250001,344.6549161842901,178.29689956316724,138.28727762749074,584.2929263351798,226.1344847526259,188.11249999999964,108.67499999999731,551.1400593749976,230.4875000000019,234.67500000000274,610.084809375001,183.63426833056295,112.37875522207818,552.6053254887511,235.6341777768851,232.67187257386368,611.1381488066079,0.5067359567226953,0.12925040878061128,0.0,14.125000000000739,14.000000000000597,14.736187500000824,1a
4894,80494,0,1.5522903768618805,247.52383387421168,62,7649,2,-173.325,195.675,360.99790781250005,200.4139746873955,17.67500000000001,299.675,420.25623281250006,316.2012195580529,-96.10131762039707,248.82763948483708,394.5668749344666,272.2264819490092,-165.82500000000073,263.17499999999893,425.71116875000257,14.175000000002875,293.17499999999984,396.3883000000006,-161.72082955695123,259.9431231247808,420.2562328125001,12.9521649980314,297.77345982176985,397.7400903747894,0.5430642888006135,0.03296528838688791,0.0,15.000000000000284,15.000000000000426,14.661434375001022,1a
4994,80578,0,1.59468677191634,197.7600820701668,78,8114,1,-22.32499999999999,-298.325,729.6139593750001,221.60045408346977,54.67500000000001,-219.325,873.7193062500002,298.37897253325343,19.451026344306012,-260.269500288666,796.4211914015077,261.7288735169103,22.591666666667177,-265.4083333333338,866.514038906253,48.25833333333584,-225.9083333333308,736.8192267187475,44.56704324387855,-229.58142681726753,736.8679808683056,19.550934768301843,-268.43173324064,868.2307322943266,0.4458409841286143,0.36134291762179216,0.0,12.833333333334332,13.166666666667652,14.410534687500558,1a
5080,80634,0,1.5967066680912751,132.75318904191073,68,9271,1,281.675,42.67500000000001,362.13450000000006,290.89940056658764,340.675,162.675,447.40998750000006,364.87725504613195,308.46246619178885,101.13695769158733,425.53437908396063,326.0063949665623,289.04999999999774,50.17499999999739,440.3036968750026,318.55000000000075,155.17500000000265,397.66595312499953,294.98200195430445,52.679956543917875,442.63030655194876,315.0429085429501,154.88888257648026,397.8580819147122,0.286280137261909,0.07505369462580434,0.0,14.750000000001478,15.000000000000753,14.212581250000994,1a
5141,20036,0,1.6761826424381014,364.7413608234217,92,7354,1,-76.32499999999999,114.67500000000001,787.0932562500001,129.57415347977388,185.675,223.675,941.0334281250001,289.9299247231993,-15.466615482601762,153.54195201545588,883.6260760282513,165.6878106943168,-69.04722222222505,121.4874999999974,934.0361475852301,178.39722222222508,216.86250000000265,794.0905367897701,-67.76154772115018,124.5825094607718,931.79640667977,179.17236741013195,218.850383473577,795.3723775093417,0.6012451795702699,0.06599057901933668,0.0,14.555555555555891,13.625000000000753,13.994561079545974,1a
5515,20348,0,1.5656021024294429,163.54974908422258,75,8816,2,-306.325,97.67500000000001,161.83484296875002,238.4373319134401,-173.325,197.675,220.24767187500004,343.48051072804697,-256.4987255781296,154.61576263886604,190.32549093005167,300.50396532597773,-299.40833333333455,162.92500000000038,213.12748238769814,-180.7416666666639,162.92500000000038,213.12748238769814,-296.30814895560036,157.42983417294926,215.69408057871803,-181.4174409105782,165.57381883616992,208.66788378796187,0.32097939620293026,0.1366180853462492,0.0,14.833333333333826,14.500000000000753,14.240378974609778,1a
5765,20546,0,1.5919843598781214,79.51787950042653,40,8847,1,-199.325,-308.325,552.22125,282.79915355248147,-138.325,-236.325,592.2958125000001,354.6064878848101,-160.53867801389322,-268.804827000319,568.5743445353417,313.2268372480758,-181.02500000000117,-301.1250000000024,558.900343749998,-144.42499999999757,-243.5249999999976,585.6167187500021,-146.60916202153484,-248.41634646991142,586.5056833142451,-179.82435229461186,-297.54460496975224,560.8996397285348,0.42435946729390156,0.3566444714438606,0.0,12.20000000000121,14.400000000001228,13.358187500001918,1a
5876,20636,0,1.5710402569739892,205.3640817706488,62,8577,1,-4.324999999999989,-125.32499999999999,338.8765406250001,33.2755353074898,80.67500000000001,-0.32499999999998863,473.8340578125001,127.54160595664457,18.66985623224641,-85.01264331978358,397.22195348573183,91.43577256686055,31.09166666666618,-118.3805555555582,346.3741804687474,73.59166666666917,-7.269444444441766,466.33641796875276,26.341843830466157,-116.35107451577701,345.9795300481084,72.78749659748308,-7.700162772649539,468.6576659671204,0.4427140301231509,0.08384847262501346,0.0,14.166666666667666,13.888888888889554,14.99527968750067,1a
6340,3900292,0,1.606248964259938,260.6251314776085,53,8171,1,137.675,147.675,261.50222109375005,224.2836624678668,286.675,293.675,380.01590156250006,399.0864082501432,206.30009015647389,212.78978699615257,323.32283211884015,296.81156514297646,189.8249999999991,154.9749999999973,372.6087965332058,279.22500000000275,286.37500000000273,283.72353618163885,186.1391061972867,157.1681524825092,372.2254617299467,275.73184943477946,282.3332530240316,281.10500992873426,0.501522015570626,0.34857495204656125,0.0,14.900000000000603,14.600000000000591,14.814210058594483,1a
6861,1560046,0,1.5958033097655837,108.43859122832787,56,7987,1,276.675,33.67500000000001,297.88112812500003,282.2211211975461,350.675,117.67500000000001,375.80861718750003,356.5891350700411,302.0490214319282,77.38418259685008,338.2214553652398,312.4441306480447,284.0749999999976,40.67499999999751,369.3146597656275,298.8749999999988,110.67500000000251,304.3750855468725,287.96118126733785,45.289037135182824,366.30154114637236,298.8325552112877,108.77227567322372,308.2075313519266,0.528534284930434,0.4390315711646519,0.0,14.800000000001205,14.000000000001002,12.987914843751014,1a
6901,1560084,0,1.608332178911635,260.0004755748264,62,8006,1,-134.325,158.675,31.936750781250005,169.75529815001357,-38.32499999999999,327.675,106.04103398437502,346.3634814035683,-81.81385385092567,233.0602053149533,66.68939639741842,247.27060714503483,-72.61071428571341,165.7166666666639,39.3471791015601,-72.61071428571341,320.6333333333361,68.98889238281251,-69.00951665996381,168.24303830112052,34.234119161119494,-73.80167195913285,317.2681497950646,73.12651307795757,0.33524977325824207,0.08871822545945729,0.0,13.714285714286575,14.083333333333826,14.820856640626204,1a
7712,3840066,0,1.530201251985199,203.53881339680908,67,7269,1,-226.325,57.67500000000001,506.9016421875001,183.48150111114742,-160.325,195.675,632.3361843750001,272.4743313598549,-192.5697151818065,91.4295882551809,572.0309056948423,214.53342647306494,-193.325,92.17499999999852,513.8702278645808,-166.92499999999757,188.77500000000273,625.3675986979194,-193.62824180445156,91.73639916610563,512.9439299682267,-167.10029247192415,191.31390905748913,627.85246630015,0.12075418042623007,0.030870893857813563,0.0,13.20000000000121,13.800000000000608,13.937171354167333,1a
7718,3840074,0,1.594697243099912,175.3365079972706,58,6893,1,29.67500000000001,197.675,634.0022718750001,203.11071180516308,91.67500000000001,319.675,705.6972562500001,322.5168387076867,60.08113177521164,254.58008165204294,665.4765521253815,261.9980762115365,48.27499999999881,218.00833333333134,641.1717703124978,48.27499999999881,312.8972222222249,655.5107671874989,52.46542411562047,214.89749480928353,640.6947718542403,48.75146506284166,311.48919484767595,659.4522218792466,0.22679473104383294,0.09839382554650082,0.0,12.4000000000012,13.555555555556225,14.338996875001158,1a
7830,3840178,0,1.51263024870422,148.67068226369295,51,6426,1,-244.325,181.675,692.7578437500001,237.08376420581817,-147.325,284.675,764.5063781250001,361.67397093238543,-216.61034608889113,243.30369143503003,738.9097535624151,326.11447403646565,-237.39642857143116,218.46071428571344,757.3315246875025,-154.25357142856882,189.0321428571403,699.9326971874978,-233.1336191600845,223.58282389303642,755.8471114037336,-155.60845316284258,189.8168349854451,699.542266990283,0.4321763831651445,0.0986549278667366,0.0,13.857142857143714,14.714285714286575,14.349706875001175,1a
8094,3840398,0,1.657610993239531,299.0507003526597,66,8080,1,205.675,-220.325,311.65181250000006,208.51957042445682,333.675,-6.324999999999989,433.57830468750007,395.14865715322884,281.8424224543063,-139.9286200245626,353.9871261069272,318.05879768221524,241.23055555555425,-13.458333333330508,426.8046106770861,326.5638888888916,-213.19166666666945,318.42550651041404,323.9910246187305,-210.97902828083713,316.39968192056585,239.67859820547974,-14.569937296156084,425.3539026389974,0.5512762376578173,0.13161083048948033,0.0,14.222222222222882,14.266666666667078,13.547388020833978,1a
8332,3840586,0,1.678848547020607,222.13014652445935,65,6515,1,260.675,-44.32499999999999,532.074703125,260.6962049014139,389.675,31.67500000000001,654.3943875000001,389.68193600679007,333.4872794602467,0.9658464104555735,602.6015044228072,334.02622526984453,267.84166666666397,12.67500000000151,538.8702411458307,382.50833333333605,25.341666666669177,634.0077734375022,268.80751576970823,13.235479487508856,537.1949060346622,380.30620323175583,21.38858498306732,637.7343007436915,0.1007966596317438,0.06326134023846731,0.0,14.333333333333997,12.666666666667666,13.591076041667293,1a
8456,2720018,0,1.6070231575803844,114.53314248420432,51,7781,2,229.675,177.675,538.4705156250001,295.9698654424129,310.675,257.675,623.0041125000001,392.50192515451437,282.3212586135098,222.35740821821423,563.7363198430605,359.44486081102076,245.10357142857058,194.2250000000003,615.6224730468778,288.8178571428589,236.52500000000214,541.8060785156248,286.68214926473814,232.3056876179127,547.6522656025535,242.81305166131622,199.01270349553863,620.356199506353,0.7488520916055668,0.04998539996682189,0.0,14.571428571429436,14.100000000000605,14.763278906250605,1a
