,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,71041,100.0
1,low E cuts,58.04113117777059,41233,58.04113117777059
2,Fiducial Cuts,72.129119879708,29741,68.27606593375656
3,One track cut,44.13099761272318,13125,23.171126532565705
4,Blob overlap cuts,49.63809523809524,6515,51.827817739052094
5,Energy cuts,11.266308518802763,734,4.633943778944554
