,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,100009,100.0
1,low E cuts,65.76008159265666,65766,65.76008159265666
2,Fiducial Cuts,70.62767995620838,46449,66.76399124078833
3,One track cut,43.3679950052746,20144,17.9723824855763
4,Blob overlap cuts,50.193606036536934,10111,53.23620874121329
5,Energy cuts,11.89793294431807,1203,5.0665440110390065
