,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,95437,100.0
1,low E cuts,59.738885337971645,57013,59.738885337971645
2,Fiducial Cuts,71.2556785294582,40625,67.63205046260885
3,One track cut,42.64369230769231,17324,20.888125150622923
4,Blob overlap cuts,49.00138536134842,8489,51.40459151063005
5,Energy cuts,11.049593591706914,938,4.771734233054266
