,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,80864.0,100.0
1,Fiducial Cuts,67.65185991294025,54706.0,63.527651365255245
2,One track cut,62.85782181113589,34387.0,28.100267115156313
3,Blob overlap cuts,80.97246052287201,27844.0,74.70567867036011
4,Energy cuts,8.536848154000861,2377.0,6.0471903442817565
5,pos_evt - all_evt,1355.0,2377.0,0.0
6,FOM_MAX - blob2_E_val (MeV),2.5115650700616263,0.23,0.0
7,trk_no - satellite_no,249953.0,123054.0,0.0
