,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,50011,100.0
1,Fiducial Cuts,70.24778671008445,27613,63.21209333946531
2,One track cut,66.97207836888423,18493,15.208654096098858
3,Blob overlap cuts,62.639917806737685,11584,54.80194357241407
4,Energy cuts,0.36256906077348067,42,0.21395293035532184
5,pos_evt - all_evt - fom,30.0,42,4.6291004988627575
