,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,60529.0,100.0
1,Fiducial Cuts,42.925354393153356,25981.0,39.55128946455418
2,One track cut,68.91959508871868,17906.0,33.40547506154075
3,Blob overlap cuts,81.59276220261364,14610.0,77.83046143171042
4,Energy cuts,8.199863107460644,1198.0,5.988864841646153
5,pos_evt - all_evt,751.0,1198.0,0.0
6,FOM_MAX - blob2_E_val (MeV),2.050425579601738,0.19,0.0
7,trk_no - satellite_no,168912.0,75378.0,0.0
