,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,100009,100.0
1,Fiducial Cuts,67.69090781829635,67697,67.69090781829635
2,One track cut,58.75149563496167,39773,43.62607365337119
3,Blob overlap cuts,58.12737284087195,23119,55.99596036356728
4,Energy cuts,10.748734806868809,2485,4.963553280204781
5,E-blob 2 cuts,42.53521126760563,1057,28.712415882570568
