,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,60529.0,100.0
1,Fiducial Cuts,66.73605604017975,40394.0,63.23415222455352
2,One track cut,64.74723968906272,26154.0,33.40547506154075
3,Blob overlap cuts,82.82098340597996,21661.0,77.83046143171042
4,Energy cuts,8.222150408568394,1781.0,5.988864841646153
5,pos_evt - all_evt,1088.0,1781.0,0.0
6,FOM_MAX - blob2_E_val (MeV),2.1215744840720485,0.18,0.0
7,trk_no - satellite_no,168912.0,75376.0,0.0
