,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,95548,100.0
1,low E cuts,30.045631515050026,28708,30.045631515050026
2,Fiducial Cuts,69.34652361711021,19908,65.52518106082806
3,One track cut,49.82921438617641,9920,42.63197555155524
4,Blob overlap cuts,57.70161290322581,5724,57.740612048394524
5,Energy cuts,26.310272536687627,1506,13.569096161091807
