,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,100009,100.0
1,low E cuts,26.379625833674968,26382,26.379625833674968
2,Fiducial Cuts,70.71109089530741,18655,66.61500464958154
3,One track cut,48.47493969445189,9043,43.62607365337119
4,Blob overlap cuts,58.24394559327657,5267,55.99596036356728
5,Energy cuts,28.213404214923106,1486,13.639772420482158
