,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,100009,100.0
1,low E cuts,54.859062684358406,54864,54.859062684358406
2,Fiducial Cuts,71.74285505978419,39361,66.84898359147677
3,One track cut,49.851375727242704,19622,25.303722664960155
4,Blob overlap cuts,56.10539190704311,11009,55.12903838654522
5,Energy cuts,23.953129257879915,2637,12.996830285274324
