,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,95548,100.0
1,low E cuts,69.78586678946708,66679,69.78586678946708
2,Fiducial Cuts,69.58262721396542,46397,65.53355381588311
3,One track cut,45.507252624092075,21114,16.189768493322727
4,Blob overlap cuts,52.08392535758265,10997,54.54535940051074
5,Energy cuts,18.46867327452942,2031,10.718173064846988
