,Cut,Relative Efficiency,Relative Events,Single Cut Efficiency
0,No cuts,100.0,80864.0,100.0
1,Fiducial Cuts,44.51768488745981,35997.0,40.615106846062524
2,One track cut,67.23060255021251,24201.0,28.100267115156313
3,Blob overlap cuts,79.76116689393,19303.0,74.70567867036011
4,Energy cuts,8.47536652333834,1636.0,6.0471903442817565
5,pos_evt - all_evt,956.0,1636.0,0.0
6,FOM_MAX - blob2_E_val (MeV),4.41887359683192,0.35000000000000003,0.0
7,trk_no - satellite_no,249953.0,123058.0,0.0
